Sarlavha (UZ),Kompaniya (Original),Joylashuv (UZ),Sana (Original),Havola
DSP ALD SW Rivojlanish Inson resurslarini yollash,(주)디에스피,"Masaga a'zo tuman, Changwon -si, Gyeongnam",~ 08/08(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51249608&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
[SK Hyix Sharox kompaniyasi] QA yollashi (yarimo'tkazgich va ishlab chiqaruvchisi),스카이하이 메모리 리미티드,"YongTton -Gu, Suwon -si, Gyeonggi -do -do",~ 08/09(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51263284&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
[Men mantiqiy Koreya] FAE QA menejerlarini yollash (xitoylik talab qilinadi),앰로직코리아(유),Gangnam - The Seul,~ 09/09(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51274914&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
Algoritm ishlab chiqaruvchilarning yangi ishga qabulxonasi,엘리펀트키즈에듀테인먼트,Incheon Gyayang -Gu,~ 08/12(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51292976&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
"[Vr, Ar, O'yinni rivojlantirish, veb-ishlab chiqish, ilovalarni ishlab chiqish] O'qituvchi sektorini yollash",(주)로그엔코딩,Gangnam - The Seul,~ 08/16(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51325927&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
[Full - Band / 70 million yillik maslahat] Kosdaq haykali biznes testni baholash (3 yil yoki undan ko'p),(주)제이캐스팅,Daegu armiyasi,~ 08/01(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51337659&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
AI / Ma'lumotlar tahlili / Ma'lumot modellashtirish / LLM Desive Dizayn-Dling Consulting Company,(주)스카우트,Yongsan - The Seul,~ 08/17(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51334389&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
Sun'iy razvedka ta'lim o'qituvchilarini yollash,스타트업코드,DongdaeMun - The Seul,오늘마감,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50891748&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
"[Sharqiy Co., Ltd] Avtomatlashtirish va tizimni rivojlantirish bo'yicha parvarish",주식회사 이스트,DaGu Dalseo -Gu,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51201630&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
[Kelgusida sanoat] Dasturiy ta'minotni rivojlantirish Kadrlar uchun inson resurslari (yangi / martaba),미래산업(주),Seobuk - The Cheonon - Chungnam,~ 09/05(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51225293&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
Java / JSP / NodeJJ Oraning oxiriga va oldingi yollash,클라이메이트주식회사,Seul Guro -Gu,~ 08/20(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51354874&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
Tibbiy matnni tabiiy tilni qayta ishlash (NLP) INTERIYA INTERINING ILMIY TADQIQOT INSTITUTSIYASI (professional tadqiqotchilar),(주)테서,Gangnam - The Seul,~ 08/14(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51033637&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
[Mercurproject] Ma'lumot olimi olimni yollash,머큐리프로젝트(주),Gangnam - The Seul,~ 07/30(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51162786&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
"[Chet el / Hyundai Motor Company] Dasturiy ta'minot tizimlari muhandisi (yangi, martaba)",한국보그워너티에스,Chungbuuk Eumseong -Gun,~ 07/30(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51158542&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
[Bitta bashorat] Mlops muhandisi,(주) 원프레딕트,Gangnam - The Seul,~ 08/02(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51200391&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
Dalado va Susice rivojlanish bo'limiga qarshi kurash,(주)다울디엔에스,Daegu dong-ning,~ 08/06(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51229556&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
Daundi & D Doimiy ravishda yollash -Web dasturlarini ishlab chiqish bo'limi,(주)다울디엔에스,Daegu dong-ning,상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51229410&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
Java veb-ishlab chiqaruvchisi yollash (5 yildan ortiq tajriba),(주)비센스바움,"Seongdongu, Seul",~ 08/13(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51294567&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
Newx (brendi) Android Proter,(주)뉴넥스,"Seongdongu, Seul",~ 08/14(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51300800&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
[Yaponiya Tokio Shimane Prefekturasi] U dasturchilarni tayyorlash uchun muhandis,SEAGILE주식회사,"Shiman, Yaponiya",~ 08/21(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51358602&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
[Line Plus] Redis Devoper muhandisi,라인플러스(주),"Bunddang -Gu, Seongnam -si, Gyeonggi -do -do",채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50961299&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
[Ericsson] 5G / 6G RAN TIME SWN dasturchisi,(주)에릭슨코리아파트너스,"Geumcheeeeeeeeeeeeeeeeeee, Seul",~ 08/06(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51226822&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
[Line Plus] tarmoq muhandisi (Office tarmog'i),라인플러스(주),"Bunddang -Gu, Seongnam -si, Gyeonggi -do -do",~ 08/09(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51264168&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
[Ikki daraxt] orqa muhandis (kontent / qidirish xizmatiga),두나무(주),"Seocho -Gu, Seul",~ 08/09(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51261837&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
[Donal yong'og'i] Dekkaha ishchiligi xodimlarini yollash,㈜와이즈넛,"Bunddang -Gu, Seongnam -si, Gyeonggi -do -do",~ 08/24(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51391118&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
"[Itisin Cloit] AIA, ma'lumotlar, DB muhandisining karerashini yollash",(주)아이티센클로잇,"Seocho -Gu, Seul",채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50980203&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
"Dasturiy ta'minot (veb, dastur) ishlab chiqaruvchi Ishchi Ishchilar ishini yollash",(주)하이테크엔지니어링,"Yesu, Jeonam",오늘마감,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51229414&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
Global IT-Xavfsizlik nazorati markazi (Osiyo) uchun martaba ishlarini yollash (Osiyo),에스엔에프코리아(주),"Jung -Gu, Seul",~ 08/11(월),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51299933&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
[NC] Ma'lumotlar platformasi veb-sayti Internet / Mobile xizmati dasturchilarini yollash,(주)엔씨소프트,"Bunddang -Gu, Seongnam -si, Gyeonggi -do -do",오늘마감,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50906112&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
"[NC_NC AI] [Qisqa -Tr-populyatsiya ishi] NLP ma'lumotni tahlil qilish, ishlab chiqaruvchi (lingvistik muhandis) qayta ishlash uchun",(주)엔씨소프트,"Bunddang -Gu, Seongnam -si, Gyeonggi -do -do",~ 08/08(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50976250&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
[NC_NC AI] AI ma'lumotlarini qurish bo'yicha yordamchi yordamchi,(주)엔씨소프트,"Bunddang -Gu, Seongnam -si, Gyeonggi -do -do",~ 08/03(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51207805&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
[NC] Axborot xavfsizligi bo'yicha mutaxassislarni yollash (buzish sodir etilgan avtohalokat va xavfsizlikni yakunlash uchun javob),(주)엔씨소프트,"Bunddang -Gu, Seongnam -si, Gyeonggi -do -do",~ 07/31(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51326543&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
Mashinani ko'rish usullari,씨크코리아(주),"H9ASAGON -SI, GYEONGI -DO",~ 08/21(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51376557&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
Backend ishlab chiqaruvchisi (Java),(주)이파피루스,"Bunddang -Gu, Seongnam -si, Gyeonggi -do -do",~ 08/09(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51272967&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
[DAEGU AI dasturini ishlab chiquvchilarni jalb qilish (martaba),(주)모비루스,Daegu dong-ning,~ 07/30(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51171440&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
[Dowkium shekillangan] 2025 ishlab chiqaruvchi katta yollash - diska muhandisi,(주)키다리스튜디오,"Seongdongu, Seul",~ 07/30(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51326073&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
[Pangyo] Ai dasturiy ta'minot ishlab chiqaruvchilarini yollash (karera),(주)모비루스,"Seongnam -si, Gyeonggi -do -do",~ 08/19(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51351366&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
AI Rasmni qayta ishlashni rivojlantirishni amalga oshirish,이노뎁(주),"Geumcheeeeeeeeeeeeeeeeeee, Seul",~ 08/07(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51261537&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
[CJ zaytun yosh] AI tavsiya etilgan dasturiy ta'minot ishlab chiqaruvchisi (orqa tomon),씨제이올리브영(주),Barcha Seul,~ 07/31(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51133339&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
Ma'lumot olimi olimi,(주)카카오엔터테인먼트,"Bunddang -Gu, Seongnam -si, Gyeonggi -do -do",채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51286580&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
"Adolatli ma'lumotlar tahlilchisi [Evropa / AQSh Dispetch, yirik kompaniya]",(주)맨파워코리아,Evropa Vengriya,~ 08/14(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51305423&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
Nutanix muhandislarini yollash,(주)이테크시스템,"Jung -Gu, Seul",~ 07/30(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51210396&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
[AI bosh vaziri (Loyiha menejeri)] Koreyaning baholash ma'lumotlarini ish bilan shug'ullanish,한국평가데이터(주),"Yeongdeungpo -Gu, Seul",~ 07/31(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51223511&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
Karyera ishlab chiqaruvchilarni yollash -FM Qurilish / operatsiya,한진정보통신(주),Icheoneu -Gu,~ 08/14(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51362031&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
[NHH Earkey] Duray xizmatining orqaga qaytishi va operatsiyasi (Kichik),엔에이치엔(주),"Bunddang -Gu, Seongnam -si, Gyeonggi -do -do",채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50948136&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
[Nhhn buluti] infratuzilmasi QA,엔에이치엔(주),"Bunddang -Gu, Seongnam -si, Gyeonggi -do -do",채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50988390&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
[Jingaly] dba (ma'lumotlar bazasi ma'muri) - kirish,(주)컬리,Gangnam - The Seul,~ 08/02(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51196237&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
[Samyang Tizim Group] Samyang Valve Umumiy Maker -App -App -App / Web u orqaga oxirgi ishlab chiqaruvchisi,(주)삼양발브종합메이커,"Bucheon -si, Gyeonggi -do",~ 08/08(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51254181&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
Filial ma'lumotlarini yollash AI ilmiy-tadqiqot instituti AI ilmiy-tadqiqot instituti,(주)인피닉,Gangnam - The Seul,~ 09/07(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51254530&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
[Dentsu Group] Ga4 ma'lumotni tahlil qilish bo'yicha ekspertlarni qabul qilish (ish haqi),(주)덴츠크리에이티브코리아,Gangnam - The Seul,~ 08/20(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51348757&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
R / V ning R / V ning boshqaruv xodimlarini yollash (martaba),대아티아이(주),"Yeongdeungpo -Gu, Seul",~ 08/20(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51351427&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
[Controler Rivojlanish jamoasi] ShI tarmoqda,슈어소프트테크(주),Butun iqtisodiy,~ 08/21(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51375519&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
[Seodaemusun] Katta ma'lumotlarni (texnik xizmat) ishga qabul qilish,씨앤토트플러스(주),Seul Seomoemun -Gud,~ 07/30(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51385647&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
[Nhhn buluti] IT xavfsizlikni rejalashtirish,엔에이치엔(주),"Bunddang -Gu, Seongnam -si, Gyeonggi -do -do",채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51382740&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
[인피닉]인공지능연구소 AI/ML엔지니어 채용,(주)인피닉,Gangnam - The Seul,~ 08/24(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51396134&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
Ma'lumotlar xizmati jamoasi jamoasi Orqaga ishlab chiqaruvchi yollash,㈜비디,Seul Guro -Gu,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51052583&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=11698b77-5446-4199-b109-1f9188e4092d
Sun'iy intellekt (Ai) Tuz Lyuks -Computer ko'rish doktori,(주)솔트룩스,"Songpa -Gu, Seul",채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51128313&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4212f8d8-ca8e-4958-8f03-7b3b53e1a9aa
"S / W Tap Tasvirer Co., LTD ni yollash.",(주)캠시스,Icheoneu -Gu,~ 07/31(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51176973&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4212f8d8-ca8e-4958-8f03-7b3b53e1a9aa
Loyiha yordamchisi (ma'lumotlar muhandisligi),(주)크라우드웍스,Gangnam - The Seul,~ 07/31(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51178317&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4212f8d8-ca8e-4958-8f03-7b3b53e1a9aa
Camsis CM tadqiqot institutining har bir qismi uchun martaba ishlarini yollash,(주)캠시스,Icheoneu -Gu,~ 08/06(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51222266&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4212f8d8-ca8e-4958-8f03-7b3b53e1a9aa
Geo tizimini o'rganish bo'yicha tadqiqotlar va ma'lumotlar tahlili,(주)지오시스템리서치,"Gunpo -si, gyeonggi -do",채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51305132&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4212f8d8-ca8e-4958-8f03-7b3b53e1a9aa
[R & D she'rlari] AI Marketingni yollash,(주)트리플하이엠,"Geumcheeeeeeeeeeeeeeeeeee, Seul",~ 08/16(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51327330&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4212f8d8-ca8e-4958-8f03-7b3b53e1a9aa
Dastur muhandisi (yangi),(주)에이스웍스코리아,Gangnam - The Seul,~ 08/22(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51099098&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4212f8d8-ca8e-4958-8f03-7b3b53e1a9aa
Amaliyot muhandisi -Cstare -Cstome-ga yangi yollash,한국지멘스일렉트로닉디자인오토메이션(유),"Bunddang -Gu, Seongnam -si, Gyeonggi -do -do",채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51124954&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4212f8d8-ca8e-4958-8f03-7b3b53e1a9aa
AWS-Close Infratuzilma dizayni va operatsion menejerni yollash,(주)한빛소프트,"Geumcheeeeeeeeeeeeeeeeeee, Seul",채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51175591&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4212f8d8-ca8e-4958-8f03-7b3b53e1a9aa
[KOSDAQ KOMPANIYASI] Texnologiya ilmiy-tadqiqot instituti ishlab chiqaruvchilarini yollash,(주)비아이매트릭스,Gangnam - The Seul,~ 07/31(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51173108&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4212f8d8-ca8e-4958-8f03-7b3b53e1a9aa
SPS institutida ilmiy-tadqiqot va ishlab chiqish tajribasi va tajribali xodimlarini yollash,㈜에스피시스템스,"Yangsan -si, Gyeongnam",~ 08/14(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51298781&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4212f8d8-ca8e-4958-8f03-7b3b53e1a9aa
[Cookie-yugurish: Qirollik] Ma'lumotlar muhandisi,데브시스터즈(주),Gangnam - The Seul,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51365404&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4212f8d8-ca8e-4958-8f03-7b3b53e1a9aa
SW muhandisining kasbi yollash,(주)하이비젼시스템,"Jungwon - The Seongnam -si, Gyeonggi -do -do",~ 08/21(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51373867&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4212f8d8-ca8e-4958-8f03-7b3b53e1a9aa
[Tibbiy AI] Tibbiyot direktori / Video - AI ilmiy-tadqiqot instituti,뉴로핏(주),Gangnam - The Seul,~ 08/22(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51369979&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4212f8d8-ca8e-4958-8f03-7b3b53e1a9aa
Portal veb-sayti Orqaga chiquvchi (6 dan 12 yoshgacha),(주)아이디에스앤트러스트,Gangnam - The Seul,~ 08/23(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51395150&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4212f8d8-ca8e-4958-8f03-7b3b53e1a9aa
[Seoul] LLM dasturi AI modeli muhandisi,(주)유큐브,Gangnam - The Seul,~ 08/16(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51052667&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4212f8d8-ca8e-4958-8f03-7b3b53e1a9aa
Ishlab chiqaruvchilarni 3 ~ 15 yilga yollash,펜타브리드,"Seocho -Gu, Seul",~ 07/30(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51159287&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4212f8d8-ca8e-4958-8f03-7b3b53e1a9aa
[Golf zonasi bulut] Qa muhandis karyera yollash,(주)골프존클라우드,Gangnam - The Seul,~ 08/02(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51195699&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4212f8d8-ca8e-4958-8f03-7b3b53e1a9aa
IT / AI bo'limini (shu jumladan professional tadqiqotchilar) tajribasi (1 ~ 3),(주)연합인포맥스,"Jongno -Gu, Seul",~ 08/21(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51359379&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4212f8d8-ca8e-4958-8f03-7b3b53e1a9aa
[AI ilmiy instituti] AI ilmiy instituti (ko'krak tibbiy sohasi),(주)딥노이드,Seul Guro -Gu,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50987313&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4212f8d8-ca8e-4958-8f03-7b3b53e1a9aa
Bolalar marketing innovatsion jamoasini ishga tushirish,세이브더칠드런코리아,"Mapo -Gu, Seul",채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51067208&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4212f8d8-ca8e-4958-8f03-7b3b53e1a9aa
2025 CATS TASHKIL ENG ZO'R YANGI / SACER TASHKILOTLARI,(주)캐스트이즈,Seul Gvana-ning,~ 08/08(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51256045&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4212f8d8-ca8e-4958-8f03-7b3b53e1a9aa
Dasturiy ta'minotni ishlab chiquvchilarni yollash (martaba),씨앤토트(주),"Seocho -Gu, Seul",~ 09/13(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51303279&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4212f8d8-ca8e-4958-8f03-7b3b53e1a9aa
[Cashvalching] Ma'lumotlarni tahlil qilish Sanoatning Sanoat funktsiyasi agenti (harbiy xizmat maxsus),넛지헬스케어(주),Gangnam - The Seul,~ 09/12(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51290367&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=4212f8d8-ca8e-4958-8f03-7b3b53e1a9aa
